;minimum;maximum
EX_pacald_e__AA1;-1.3642420526593924e-11;0.0
EX_peng_e__AA1;0.0;1.2391865311656147e-11
EX_phedca_e__AA1;-7.77833583170136e-12;0.0
EX_phehpa_e__AA1;-3.694822225952521e-12;0.0
EX_phehxa_e__AA1;-3.410605131648481e-13;0.0
EX_pheme_e__AA1;-9.4372228781614e-11;0.0
EX_phenona_e__AA1;0.0;0.0
EX_pheocta_e__AA1;-3.5310504520325026e-12;0.0
EX_phept_e__AA1;-4.789058039023075e-12;0.0
EX_pi_e__AA1;-31.723191156686088;1000.0
EX_ppa_e__AA1;-7.958078640513122e-13;0.0
EX_pro__L_e__AA1;-1000.0;0.0
EX_pta_e__AA1;-5.166138350443106e-12;0.0
EX_ptrc_e__AA1;-9.691802915767767e-12;0.0
EX_ptsla_e__AA1;-1.708677643819101e-11;0.0
EX_pyovd_kt_e__AA1;-1000.0;1000.0
EX_pyr_e__AA1;-1000.0;0.0
EX_quin_e__AA1;0.0;0.0
EX_rib__D_e__AA1;-3.4148683880630415e-11;0.0
EX_rnam_e__AA1;0.0;999.9248608747002
EX_s_e__AA1;-1000.0;993.3831226243944
EX_salchs2_e__AA1;0.0;9.634959496906959e-12
EX_salchs4fe_e__AA1;-4.376943252282217e-12;0.0
EX_ser__D_e__AA1;-1000.0;0.0
EX_serglugly_e__AA1;-1.0913936421275139e-11;0.0
EX_skm_e__AA1;-0.022066758021641906;-0.022066758046207724
EX_so3_e__AA1;-1000.0;0.0
EX_so4_e__AA1;-0.14308758804232397;0.0
EX_srb__L_e__AA1;-1000.0;0.0
EX_stfrnA_e__AA1;-1000.0;1000.0
EX_stfrnB_e__AA1;-1000.0;1000.0
EX_tartr__D_e__AA1;-1000.0;0.0
EX_taur_e__AA1;-1.3642420526593924e-12;0.0
EX_thr__L_e__AA1;0.0;1.6804819688576167e-11
EX_thym_e__AA1;0.0;1.4836187833822123e-12
EX_thymd_e__AA1;-0.8630774155637279;0.0
EX_tnt_e__AA1;-1000.0;0.0
EX_tol_e__AA1;-0.05884468812600574;982.1076854493122
EX_tre_e__AA1;-1000.0;0.0
EX_tsul_e__AA1;-5.9117155615240335e-12;0.0
EX_ttdca_e__AA1;-6.366462912410498e-12;0.0
EX_ttdcea_e__AA1;-2.334132886971929e-12;0.0
EX_ttrcyc_e__AA1;0.0;0.0
EX_tyr__D_e__AA1;-4.555812487974259;-4.555812487882014
EX_ura_e__AA1;-496.3493533928388;1000.0
EX_urea_e__AA1;0.0;972.583520947482
EX_uri_e__AA1;-1000.0;0.0
EX_val__D_e__AA1;-1.6775913991295965e-11;0.0
EX_val__L_e__AA1;-1000.0;943.7460284372855
EX_vanlt_e__AA1;-1.2732925824820995e-11;0.0
EX_xtsn_e__AA1;-486.2917604738648;0.0
EX_xyl3_e__AA1;-1.3415046851150692e-11;0.0
EX_xyl__D_e__AA1;-1000.0;0.0
EX_xylb_e__AA1;0.0;0.0
EX_zn2_e__AA1;-0.011247779511856262;-0.01124777951185617
12DGR120tipp__AA1;0.0;9.322320693172514e-12
12DGR140tipp__AA1;0.0;1.1141310096718371e-11
12DGR141tipp__AA1;0.0;6.366462912410498e-12
12DGR161tipp__AA1;-6.45616893280021e-12;7.617018127348274e-12
12DGR180tipp__AA1;0.0;4.575895218295045e-12
12DGR181tipp__AA1;0.0;7.73070496506989e-12
14GLUCANtexi__AA1;0.0;169.62250634135395
1P2CBXLCYCL__AA1;0.0;0.0
1P2CBXLR__AA1;0.0;1000.0
23CTI1__AA1;0.0;988.2614082912617
23CTI2__AA1;0.0;988.261408291269
23CTI3__AA1;0.0;0.0
23DK5MPPISO__AA1;-1000.0;-1.4743761767022079e-12
24DECOAR__AA1;0.0;2.0463630789890885e-12
2AACLPGT160__AA1;-6.492584248007915e-13;-3.1388225352202426e-12
2AACLPGT181__AA1;0.0;5.734621111308513e-12
2AACLPPEAT160__AA1;-3.775646462145232e-12;3.0340174816956278e-12
2AACLPPEAT181__AA1;0.0;-1.2363443602225743e-12
2ACLMM__AA1;0.0;1000.0
2AGPE160tipp__AA1;0.0;7.178257988016412e-12
2AGPE161tipp__AA1;0.0;2.1094237467877974e-12
2AGPE180tipp__AA1;0.0;4.916955731459893e-12
2AGPE181tipp__AA1;0.0;7.048583938740194e-12
