;minimum;maximum
EX_p_xyl_e__AA1;0.0;0.0
EX_pacald_e__AA1;4.729372449219227e-11;0.0
EX_peng_e__AA1;0.0;1.0044232112704776e-10
EX_phedca_e__AA1;-1.850253283919301e-11;0.0
EX_phehpa_e__AA1;-2.6172952694025753e-12;0.0
EX_phehxa_e__AA1;-1.2505552149377763e-11;0.0
EX_pheme_e__AA1;-1.0062853328385302e-12;0.0
EX_phenona_e__AA1;-1.1596057447604835e-11;0.0
EX_pheocta_e__AA1;-5.755396159656812e-13;0.0
EX_phept_e__AA1;-8.185452315956354e-12;0.0
EX_pi_e__AA1;-31.723191156682308;1000.0
EX_ppa_e__AA1;-1.0800249583553523e-11;0.0
EX_pro__L_e__AA1;-1000.0;0.0
EX_pta_e__AA1;3.410605131648481e-12;0.0
EX_ptrc_e__AA1;0.0;0.0
EX_ptsla_e__AA1;-4.545164244973421e-11;0.0
EX_pyovd_kt_e__AA1;-1000.0;1000.0
EX_pyr_e__AA1;-1000.0;0.0
EX_quin_e__AA1;0.0;0.0
EX_rib__D_e__AA1;-2.6851409984374186e-11;0.0
EX_rnam_e__AA1;0.0;999.9248608746983
EX_s_e__AA1;-1000.0;993.383122624472
EX_salchs2_e__AA1;0.0;0.0
EX_salchs4fe_e__AA1;-1.0658141036401503e-11;0.0
EX_ser__D_e__AA1;-1000.0;0.0
EX_serglugly_e__AA1;-2.7044338990478423e-11;0.0
EX_skm_e__AA1;-0.022066758056342728;-0.022066758036614263
EX_so3_e__AA1;-1000.0;0.0
EX_so4_e__AA1;-0.1430875880479403;0.0
EX_srb__L_e__AA1;-1000.0;0.0
EX_stfrnA_e__AA1;-1000.0;1000.0
EX_stfrnB_e__AA1;-1000.0;1000.0
EX_sucr_e__AA1;-8.1574746957358e-11;0.0
EX_tartr__D_e__AA1;-1000.0;0.0
EX_taur_e__AA1;-1.864464138634503e-11;0.0
EX_thr__L_e__AA1;0.0;1.745448230394686e-11
EX_thym_e__AA1;0.0;3.2243804848341995e-11
EX_thymd_e__AA1;-0.8630774155637276;0.0
EX_tnt_e__AA1;-1000.0;0.0
EX_tol_e__AA1;-0.05884468813124314;982.1076854497368
EX_tre_e__AA1;-1000.0;0.0
EX_tsul_e__AA1;-2.5011104298755527e-12;0.0
EX_ttdca_e__AA1;-7.73070496506989e-12;0.0
EX_ttdcea_e__AA1;-6.821210263296962e-12;0.0
EX_ttrcyc_e__AA1;0.0;0.0
EX_tyr__D_e__AA1;-4.555812487925745;-4.555812487943967
EX_ura_e__AA1;-496.3493533930744;1000.0
EX_urea_e__AA1;0.0;972.5835209473928
EX_uri_e__AA1;-1000.0;0.0
EX_val__D_e__AA1;-1.469047106184007e-11;0.0
EX_val__L_e__AA1;-1000.0;943.746028437212
EX_vanlt_e__AA1;-1.0913936421275139e-11;0.0
EX_xtsn_e__AA1;-486.2917604737967;0.0
EX_xyl3_e__AA1;-1.432454155292362e-11;0.0
EX_xyl__D_e__AA1;-1000.0;0.0
EX_xylb_e__AA1;-1.9099388737231493e-11;0.0
EX_zn2_e__AA1;-0.011247779511856267;-0.01124777951185615
12DGR120tipp__AA1;0.0;-8.640199666842818e-12
12DGR140tipp__AA1;0.0;8.842704346534447e-12
12DGR141tipp__AA1;0.0;9.094947017729282e-13
12DGR161tipp__AA1;-3.6273206660553114e-12;7.702283255639486e-12
12DGR180tipp__AA1;0.0;9.549694368615746e-12
12DGR181tipp__AA1;0.0;3.794298208958935e-12
14GLUCANtexi__AA1;0.0;169.62250634135435
1P2CBXLCYCL__AA1;0.0;2.7284841053187847e-12
1P2CBXLR__AA1;0.0;1000.0
23CTI1__AA1;0.0;988.2614082912594
23CTI2__AA1;0.0;988.2614082912714
23CTI3__AA1;0.0;4.3653188702696966e-12
23DK5MPPISO__AA1;-1000.0;8.981260180007666e-12
24DECOAR__AA1;0.0;4.426681243785424e-12
2AACLPGT160__AA1;-5.116351786682571e-12;1.3775647289548942e-11
2AACLPGT181__AA1;0.0;0.0
2AACLPPEAT160__AA1;-5.32196509084315e-12;1.801225835151854e-12
2AACLPPEAT181__AA1;0.0;7.844391802791506e-12
2ACLMM__AA1;0.0;1000.0
2AGPE160tipp__AA1;0.0;4.009237386526365e-12
2AGPE161tipp__AA1;0.0;3.015365734881925e-12
2AGPE180tipp__AA1;0.0;5.243083744943533e-12
2AGPE181tipp__AA1;0.0;3.839595308363641e-12
2AGPEAT180__AA1;0.0;0.0
2AGPG160tipp__AA1;0.0;5.002220859751105e-12
2AGPG161tipp__AA1;0.0;2.396305376350938e-12
2AGPG180tipp__AA1;0.0;0.0
2AGPG181tipp__AA1;0.0;-5.002220859751105e-12
2AGPGAT180__AA1;0.0;4.547473508864641e-13
2DHGLCNtex__AA1;-1000.0;0.0
2MAHMP__AA1;0.0;9.805082874098092e-11
2OH3K5MPPISO__AA1;-1000.0;2.9558577807620168e-12
34HPPOR__AA1;0.0;8.321876521222293e-11
3HAACOAT140__AA1;-2.567000565192672;-2.56700056519267
3HACPH__AA1;-1000.0;0.0
3HAD40__AA1;0.0;1000.0
3HBCOAHL__AA1;0.0;5.760524002251799e-12
3HOXTPP__AA1;0.0;1000.0
3MBtex__AA1;0.0;1.1299405855424993e-11
3OADPCOAT__AA1;0.0;4.3270498295555626e-11
3OAR40__AA1;0.0;1000.0
3OXCOAT__AA1;0.0;-2.2737367544323206e-12
3OXOADPt_ex__AA1;0.0;-2.6147972675971687e-12
3OXOADPt_pp__AA1;0.0;-2.6147972675971687e-12
4ABUTD__AA1;-1000.0;0.0
4ABUTabcpp__AA1;0.0;6.139089236967266e-11
4CMLCL_kt__AA1;0.0;6.227907078937278e-12
4HBADH__AA1;0.007355586015084873;0.007355586015084884
4HBZt3pp__AA1;0.004057116948973021;0.004057116950024399
4HBZtex__AA1;-0.004057116950024399;-0.004057116948973021
4HGLSD__AA1;-1000.0;0.0
4HTHRK__AA1;0.0;2.4538803266537062e-11
4HTHRS__AA1;0.0;8.962658740174767e-12
4PEPTabcpp__AA1;0.9165785838010576;0.9165785838011566
4PEPTtex__AA1;0.9165785837941128;0.9165785838004581
5DGLCNR__AA1;0.0;1000.0
5DKGR__AA1;0.0;1000.0
5DOAN__AA1;0.0;7.692513293022785e-12
6APAt1__AA1;0.0;1.0044232112704776e-10
6ATHAtexi__AA1;0.0;5.016431714466307e-12
6PHBG__AA1;-1000.0;1000.0
6PHBG2__AA1;-1000.0;1000.0
A5PISO__AA1;1.2835002825963338;1.2835002825963373
A6PAG__AA1;0.0;1000.0
AAAN__AA1;-1000.0;0.0
AABTN__AA1;0.0;5.263700586510822e-11
AACPS1__AA1;0.0;1.5702994460298214e-12
AACPS3__AA1;9.171591143544575;9.171591143552646
AACPS5__AA1;0.0;-2.0463630789890885e-11
AADa__AA1;0.0;1.9754864410970185e-11
AADb__AA1;0.0;2.364308748781241e-11
AALDH__AA1;0.0;0.0
AAMYLpp__AA1;0.0;169.62250634135435
AASAD3__AA1;0.0;491.0832650689292
AATA__AA1;-491.08326506889915;0.0
ABUTD__AA1;0.0;1000.0
ABUTt2pp__AA1;0.0;1000.0
ABUTt2r__AA1;0.0;1000.0
ABUTtex__AA1;0.0;1000.0
ACACT10__AA1;0.0;988.2614082912773
ACACT11__AA1;0.0;988.261408291273
ACACT12__AA1;0.0;990.8284088564658
ACACT13__AA1;0.0;988.2614082912621
ACACT1r__AA1;-964.9259271046611;11.738591708727759
ACACT2r__AA1;11.738591708739932;1000.0
ACACT3r__AA1;11.73859170873368;1000.0
ACACT4r__AA1;11.738591708724584;1000.0
ACACT5r__AA1;11.738591708705258;1000.0
ACACT6r__AA1;11.738591708737317;1000.0
ACACT7r__AA1;9.171591143555588;1000.0
ACACT8__AA1;0.0;988.2614082913101
ACACT8r__AA1;-988.2614082912685;-2.1600499167107046e-12
ACACT9__AA1;0.0;988.2614082912738
ACACt2pp__AA1;0.0;1.886757416968976e-11
ACACtex__AA1;0.0;1.886757416968976e-11
ACALDt__AA1;-1000.0;1000.0
ACCOAC__AA1;0.0;8.689937658346025e-12
ACCOAL__AA1;0.0;1000.0
ACGAMK__AA1;0.0;2.8664848272796917e-12
ACGApts__AA1;0.0;2.913447261221336e-11
ACGAptspp__AA1;0.0;9.974465697837331e-11
ACGAtex__AA1;0.0;1.0428413688146065e-10
ACGK_1__AA1;0.0;1.2931877790833823e-12
ACGS__AA1;0.0;4.6894099714478443e-11
ACHBS__AA1;0.0;9.58300919004017
ACLS__AA1;0.0;972.5835209475777
ACLS_a__AA1;0.0;982.1665301377149
ACLS_d__AA1;-9.583009190037274;972.5835209478516
ACM6PH__AA1;0.0;5.928590951498336e-13
ACMANApts__AA1;0.0;1.957145556730211e-11
ACOAD1__AA1;0.0;1000.0
ACOAD10f__AA1;0.0;5.002220859751105e-12
ACOAD11f__AA1;0.0;5.059064278611913e-12
ACOAD12f__AA1;0.0;1.7740114932607298e-12
ACOAD13f__AA1;0.0;1.6143530956469476e-11
ACOAD14f__AA1;0.0;-2.2737367544323206e-13
ACOAD15f__AA1;0.0;1.0459189070388675e-11
ACOAD16f__AA1;0.0;1.1368683772161603e-13
ACOAD17f__AA1;0.0;6.366462912410498e-12
ACOAD18f__AA1;0.0;6.366462912410498e-12
ACOAD19f__AA1;0.0;5.9685589803848416e-12
ACOAD1f__AA1;0.0;1000.0
ACOAD1fr__AA1;0.0;1000.0
ACOAD2__AA1;-988.2614082912669;1000.0
ACOAD20__AA1;0.0;4.803268893738277e-12
ACOAD20f__AA1;0.0;1.0581757692307292e-11
ACOAD21f__AA1;0.0;1.000444171950221e-11
ACOAD22f__AA1;0.0;-5.7980287238024175e-12
ACOAD23f__AA1;0.0;990.8284088564701
ACOAD24f__AA1;-6.121325668573263e-12;988.2614082912694
ACOAD25f__AA1;0.0;988.2614082912706
ACOAD26f__AA1;0.0;988.2614082912676
ACOAD27f__AA1;0.0;988.2614082912738
ACOAD28f__AA1;0.0;988.2614082912769
ACOAD29f__AA1;0.0;5.144329406903125e-12
ACOAD2f__AA1;-1000.0;988.2614082912778
ACOAD3__AA1;-1000.0;988.2614082912684
ACOAD30f__AA1;0.0;-1.77280412572145e-11
ACOAD31f__AA1;0.0;3.19211324040225e-12
ACOAD32f__AA1;0.0;-8.462563982902793e-12
ACOAD33f__AA1;0.0;-1.5489831639570184e-11
ACOAD34f__AA1;0.0;-1.944044925039634e-11
ACOAD3f__AA1;-1000.0;988.2614082912637
ACOAD4__AA1;0.0;988.2614082912726
ACOAD4f__AA1;-1000.0;-11.738591708729928
ACOAD5__AA1;0.0;988.2614082912845
ACOAD5f__AA1;-1000.0;-11.73859170872602
ACOAD6__AA1;-1000.0;990.8284088564639
ACOAD6f__AA1;-1000.0;990.8284088564549
ACOAD7__AA1;-1000.0;990.8284088564524
ACOAD7f__AA1;-1000.0;990.8284088564618
ACOAD8f__AA1;-995.0111644931908;3.5473846082823e-12
ACOADH2__AA1;0.0;500.00000000000676
ACODA__AA1;0.0;3.209391086222979e-12
ACONT__AA1;-1000.0;1000.0
ACONTa__AA1;-1000.0;1000.0
ACONTb__AA1;-1000.0;1000.0
ACOTA__AA1;-1.3489653838405502e-11;0.0
ACP1_FMN__AA1;0.0;1.0554863840578355e-10
ACPPAT140__AA1;0.0;-5.266898028821743e-13
ACPPAT160__AA1;0.0;4.5857955717710865
ACPPAT181__AA1;0.0;2.354560990625032e-12
ACPS__AA1;0.0;-2.2737367544323206e-12
ACPS1__AA1;0.0;1.1368683772161603e-13
ACPpds__AA1;0.0;1.999289622744982e-12
ACS__AA1;0.0;-3.317524033263908e-11
ACSERHS__AA1;0.0;5.727307517133795e-12
ACSERL__AA1;0.0;9.58839674325418e-11
ACSPHAC100__AA1;0.0;3.865352482534945e-12
ACSPHAC101__AA1;0.0;7.73070496506989e-12
ACSPHAC120__AA1;0.0;7.460698725481052e-13
ACSPHAC121__AA1;0.0;1.2354561818028742e-11
ACSPHAC121d6__AA1;0.0;7.888800723776512e-12
ACSPHAC140__AA1;0.0;1.156408302449563e-12
ACSPHAC141__AA1;0.0;1.0800249583553523e-11
