metabolite_id (compartment specific),count
ps161_c,2
pe161_c,1
pocta2coa_c,1
nona2coa_c,1
R_3hdcaa_c,2
but2eACP_c,1
ps160_c,2
phe__L_c,2
phe__D_c,2
phenona_p,1
od2coa_c,1
3ovacccoa_c,1
met_L_ala__L_c,1
R_3httdca_c,2
3htdcoa_c,1
ddecoa_c,1
dde2coa_c,1
uaagmda_c,3
murein5p5p5p_p,2
tol_c,1
hmgcoa_c,1
val__D_c,1
1agpe181_p,1
g3pe_p,1
phept_p,1
prbamp_c,4
4atbcoa_c,1
4atb2coa_c,1
din_c,2
2dr1p_c,10
hxan_c,2
1agpg181_p,2
g3pg_p,4
pe160_c,2
murein5p4p_p,1
12dgr141_c,2
aacoa_c,2
glyc_p,4
R3hdec4e_c,2
R3hdec4coa_c,2
anhgm3p_c,3
acgam_c,1
anhm3p_c,1
chor_c,1
hpta_p,1
uama_c,1
clpn180_p,2
ncam_c,2
tyr__D_c,1
prfp_c,2
inost_c,2
indole_c,1
leu__L_c,1
pgp140_p,1
pgp180_c,2
adhlam_c,1
CCbuttc_c,1
clpn141_p,1
pg141_p,2
pgp141_p,1
gly_tyr_e,1
anhm_c,1
lnlc_p,1
etha_c,1
fmnh2_c,7
acald_c,4
2agpe160_c,1
thymd_c,1
thym_c,1
2m35mdntha_c,1
dec4coa_c,1
pg161_c,3
nadphx__R_c,1
tde2coa_c,1
ibcoa_c,4
hx2coa_c,1
dgtp_c,1
dgsn_c,3
altrn_c,1
tagur_c,3
5cmhmsa_c,3
5cmhm_c,1
frulysp_c,2
lys__L_c,2
1odec11eg3p_p,1
ocdcea_p,3
gua_c,2
25dkglcn_c,1
2dhguln_c,5
gmp_c,1
2ddara_c,1
salchs1_c,1
23dhbzs_c,8
salchsx_c,1
methf_c,2
2dr5p_c,2
2hetdp_c,2
frulys_c,1
3pg_c,1
4crsol_c,1
dhgly_c,2
1py4h3c_c,2
25dop_c,1
hmbpp_c,2
ipdp_c,5
nmn_c,1
23dhbzs3_c,5
23dhbzs2_c,2
fe3dhbzs_c,1
hhd_c,1
4hoxoh_c,2
2oxpaccoa_c,2
3oxdhscoa_c,1
h2s_c,2
feoxam_c,3
feoxam_un_c,3
4hoxpac_c,2
34dhpacet_c,3
alpro_c,2
dhlpro_c,1
mlthf_c,2
prohisglu_c,1
his__L_c,2
cyan_c,1
tcynt_c,1
4poptcoa_c,2
3ptcoa_c,1
dxyl_c,1
4hba_c,1
4mhetz_c,1
clpn181_p,1
mi3p__D_c,2
acon_c,2
oaa_c,2
hipocoa_c,1
hia_c,1
cspmd_c,2
5ohhipcoa_c,1
hipecoa_c,1
gluala_c,2
5oxpro_c,1
salchs4fe_p,1
salchs2fe_p,1
cgly_c,1
g3pg_e,2
h2o_e,1
glyc3p_e,1
glyc_e,1
h_e,1
5cohe_c,2
2hh24dd_c,2
lipoate_c,2
lipoamp_c,3
d5kgp_c,2
msa_c,1
anhgm_c,1
fdxox_c,3
man_p,1
fc1p_c,3
lald__L_c,2
idon__L_c,2
glyglu_c,1
glx_c,1
sbt__D_e,1
sbt6p_c,3
salchs2fe_c,3
salchs2_c,3
3padsel_c,3
slnt_c,2
d5kg_c,1
glybcoa_c,1
glyb_c,1
galur_c,1
3uib_c,2
3aib_c,1
balamd_c,1
op4en_c,4
4h2opntn_c,1
scl_c,1
sheme_c,1
LalaDgluMdap_p,1
anhgm_p,1
fe3dhbzs3_c,4
sucr_p,1
rephaccoa_c,1
dann_c,2
56dthm_c,1
gln__L_c,3
pydx5p_c,3
salc_c,2
cmcbtt_c,1
glcur_c,3
fruur_c,2
icit_c,1
4hptcoa_c,1
stfrnB_c,1
adocbi_c,2
adcobhex_c,2
appl_c,3
mana_c,1
udpacgal_c,1
24dhhed_c,1
sucsal_c,2
chol4en3one_c,1
hchol_c,1
aact_c,1
murein3px4p_p,1
3h4atbcoa_c,1
3h4atb_c,1
34dhpha_c,1
Ncarbsar_c,2
sarcs_c,1
23dhacoa_c,1
3hadpcoa_c,2
mthd_c,1
clpn160_p,2
pa160_p,2
2hmcnsad_c,1
ppal_c,1
uppg3_c,1
dscl_c,1
fcl__L_c,1
aspsa_c,1
sel_c,1
adsel_c,2
lac__L_c,2
4oxptn_c,1
4oxptcoa_c,1
dhcrn_c,1
dhcrncoa_c,1
2agpg161_c,1
hdcea_c,3
4hpro_DC_c,1
8aonn_c,1
amob_c,1
3hbcoa_c,1
grxrd_c,1
grxox_c,1
lipopb_c,1
lpro_c,1
dmso2_c,1
fald_c,2
mso3_c,1
ala__D_c,3
cdpglyc_c,7
uacmam_c,3
gtca2_45_BS_c,1
2sephchc_c,2
fmcbtt_c,2
ppp9_c,1
mcbtt_c,2
hexdp_c,2
hepdp_c,2
d12dg_BS_c,4
udpg_c,2
lipo1_24_BS_c,1
rml1p_c,2
ivcoa_c,2
