bigg_id,name,formulas,charges
M00783,"""3-Hydroxyhexacosanoyl Coenzyme A""",['C47H82N7O18P3S'],[-4]
M00792,"""3-Hydroxynonanoyl Coenzyme A""",['C30H48N7O18P3S'],[-4]
M00790,"""3-Hydroxynonadecanoyl Coenzyme A""",['C40H68N7O18P3S'],[-4]
M00797,"""3-Hydroxypentanoyl Coenzyme A""",['C26H40N7O18P3S'],[-4]
M00795,"""3-Hydroxypentadecanoyl Coenzyme A""",['C36H60N7O18P3S'],[-4]
M00802,"""3-Hydroxytricosanoyl Coenzyme A""",['C44H76N7O18P3S'],[-4]
M00804,"""3-Hydroxytridecanoyl Coenzyme A""",['C34H56N7O18P3S'],[-4]
M00841,"""3-Oxo-11-Cis-Octadecenoyl Coenzyme A""",['C39H62N7O18P3S'],[-4]
M00806,"""3-Hydroxyundecanoyl Coenzyme A""",['C32H52N7O18P3S'],[-4]
M00839,"""3-Oxo-11Cis-Docosenoyl Coenzyme A""",['C43H70N7O18P3S'],[-4]
M00843,"""3-Oxo-13-Cis-Eicosenoyl Coenzyme A""",['C41H66N7O18P3S'],[-4]
M00852,"""3-Oxo-9-Cis-Eicosenoyl Coenzyme A""",['C41H66N7O18P3S'],[-4]
M00849,"""3-Oxo-7-Hexadecenoyl Coenzyme A""",['C37H58N7O18P3S'],[-4]
M00860,"""3-Oxodocasa-Cis,Cis-13,16-Dienoyl Coenzyme A""",['C43H68N7O18P3S'],[-4]
M00869,"""3-Oxoeicosa-Cis,Cis,Cis-11,14,17-Trienoyl Coenzyme A""",['C41H62N7O18P3S'],[-4]
M00862,"""3-Oxo-Docosa-13,16,19-All-Cis-Trienoyl Coenzyme A""",['C43H66N7O18P3S'],[-4]
M00873,"""3-Oxoheneicosanoyl Coenzyme A""",['C42H70N7O18P3S'],[-4]
M00871,"""3-Oxo-Eicosadienoyl Coenzyme A""",['C41H64N7O18P3S'],[-4]
M00875,"""3-Oxoheptadecanoyl Coenzyme A""",['C38H62N7O18P3S'],[-4]
M00877,"""3-Oxoheptanoyl Coenzyme A""",['C28H42N7O18P3S'],[-4]
M00879,"""3-Oxo-Hexacosenoyl Coenzyme A""",['C47H78N7O18P3S'],[-4]
M00887,"""3-Oxononadecanoyl Coenzyme A""",['C40H66N7O18P3S'],[-4]
M00885,"""3-Oxomyrist-5-Enoyl Coenzyme A""",['C35H54N7O18P3S'],[-4]
M00889,"""3-Oxononanoyl Coenzyme A""",['C30H46N7O18P3S'],[-4]
M00899,"""3-Oxopentanoyl Coenzyme A""",['C26H38N7O18P3S'],[-4]
M00897,"""3-Oxopentadecanoyl Coenzyme A""",['C36H58N7O18P3S'],[-4]
M00907,"""3-Oxotricosanoyl Coenzyme A""",['C44H74N7O18P3S'],[-4]
M00937,"""4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol""",['C30H48O2'],[0]
M00909,"""3-Oxotridecanoyl Coenzyme A""",['C34H54N7O18P3S'],[-4]
M00911,"""3-Oxoundecanoyl Coenzyme A""",['C32H50N7O18P3S'],[-4]
M00939,"""4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol""",['C30H50O2'],[0]
M00940,"""4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholest-8-En-3Beta-Ol""",['C30H52O2'],[0]
M00938,"""4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholest-8-En-3Beta-Ol""",['C30H50O2'],[0]
M00942,"""4,4-Dimethyl-5Alpha-Cholesta-8,14-Dien-3Beta-Ol""",['C29H48O'],[0]
