reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,,,
EX_his__L_e,his__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_hisgly_e,hisgly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_hishis_e,hishis_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_hom__L_e,hom__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_hxa_e,hxa_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_hxan_e,hxan_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_icit_e,icit_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_id3acald_e,id3acald_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_ile__L_e,ile__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_ind3ac_e,ind3ac_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_indole_e,indole_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_inost_e,inost_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_ins_e,ins_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_isetac_e,isetac_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_istfrnA_e,istfrnA_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_istfrnB_e,istfrnB_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_k_e,k_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_lcts_e,lcts_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_leu__D_e,leu__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_leu__L_e,leu__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_leuleu_e,leuleu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_lipoate_e,lipoate_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_lnlc_e,lnlc_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_lys__D_e,lys__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_lys__L_e,lys__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_m_xyl_e,m_xyl_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0,,,,,
EX_mal__D_e,mal__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_mal__L_e,mal__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
