reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,
ACOAD16f,fad_c + phxacoa_c <=> fadh2_c + phxa2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD17f,fad_c + pptcoa_c <=> fadh2_c + ppt2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD18f,fad_c + pbcoa_c <=> fadh2_c + pb2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD19f,fad_c + phppcoa_c <=> cinmcoa_c + fadh2_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,ok,ACOAD1fr,ACOAD1fr,N/A,N/A,in loop,ok,ok,0,,,
ACOAD1fr,b2coa_c + fadh2_c --> btcoa_c + fad_c,ok,ACOAD1f,ACOAD1f,N/A,N/A,in loop,ok,ok,0,,,
ACOAD2,h_c + hx2coa_c + nadh_c <=> hxcoa_c + nad_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD20,2.0 2mbcoa_c + o2_c --> 2.0 2mb2coa_c + 2.0 h2o_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACOAD20f,6athcoa_c + fad_c <=> 6ath2coa_c + fadh2_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD21f,4atbcoa_c + fad_c <=> 4atb2coa_c + fadh2_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD22f,fad_c + vacccoa_c <=> fadh2_c + vacc2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD23f,fad_c + hdcoa_c <=> fadh2_c + hd2coa_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,ok,0,,,
ACOAD24f,fad_c + tdecoa_c <=> fadh2_c + tde2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD25f,ddecoa_c + fad_c <=> dde2coa_c + fadh2_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,ok,0,,,
ACOAD26f,fad_c + odecoa_c <=> fadh2_c + ode2coa_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,ok,0,,,
ACOAD27f,fad_c + hdd7coa_c <=> fadh2_c + hdd7_2_coa_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,ok,0,,,
ACOAD28f,fad_c + tded5coa_c <=> fadh2_c + tded5_2_coa_c,ok,ok,ok,N/A,N/A,in loop,only when going backwards,ok,0,,,
ACOAD29f,fad_c + ptslacoa_c <=> fadh2_c + ptsla2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD2f,fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD3,nad_c + occoa_c <=> h_c + nadh_c + oc2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD30f,fad_c + hdd4coa_c <=> fadh2_c + hdd4_2_coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD31f,fad_c + lnlccoa_c <=> fadh2_c + lnlc2coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD32f,fad_c + hd_7_10_coa_c <=> fadh2_c + hd710_2_coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD33f,fad_c + td_5_8_coa_c <=> fadh2_c + td58_2_coa_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD34f,dec4coa_c + fad_c <=> dec4_2_coa_c + fadh2_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
ACOAD3f,fad_c + occoa_c <=> fadh2_c + oc2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD4,dcacoa_c + nad_c --> dc2coa_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD4_1,dccoa_c + nad_c <=> dc2coa_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD4f,dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD5,ddcacoa_c + nad_c --> dd2coa_c + h_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD5_1,ddcoa_c + nad_c <=> h_c + nadh_c + trans_dd2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
